slice_id	semantic_entity	scope_root	android_arm64	android_armv7	ios_arm64	ios_armv7	evidence_status	implementation	analysis_report	verification	remaining_gap
MP-F06-LOCAL-IMPLEMENTATION-TEST-MAP	Final mapping from every semantic slice to local implementation analysis evidence and available unit differential syntax and static verification	motionplayer.dll + emoteplayer.dll	local implementation mapped to joint Android arm64 evidence	local implementation mapped to joint Android armv7 evidence	local implementation mapped to joint iOS arm64 evidence	local implementation mapped to joint iOS armv7 evidence	IMPLEMENTED	analysis/motionplayer_tasks_status.tsv; analysis/motionplayer_vertical_test_matrix.tsv; analysis/motionplayer_fixture_decisions.tsv; cpp/plugins/motionplayer; tests/unit-tests/plugins/motionplayer-dll.cpp; tests/differential; tools/motionsim	analysis/motionplayer_vertical_slice_existing_unit_test_map_2026-08-28.md; analysis/motionplayer_existing_fixture_supplement_decisions_2026-08-28.md; analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md	Every static ticket maps to implementation/report fields and MP-V01/MP-V02 provide the test or unavailable-material decision denominator	No mapping gap; only external differential execution remains under MP-V03 through MP-V05
MP-F07-FINAL-GAP-DENOMINATOR	Final remaining-gap denominator separating implementable common source from irreducible evidence limits platform behavior and unavailable environment validation	motionplayer.dll + emoteplayer.dll	common finite-value semantics closed; AArch64 FP platform rows retained	common finite-value semantics closed; ARMv7 ordered-compare platform rows retained	common finite-value semantics closed; AArch64 FP platform rows retained	common finite-value semantics closed; ARMv7 ordered-compare platform rows retained	IMPLEMENTED	analysis/motionplayer_v15_final_differences.tsv; analysis/motionplayer_tasks_status.tsv; tools/motionsim/generate_final_crosscutting_audits.py	analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_android_ios_arm64_armv7_difference_classification_four_binary_2026-08-28.md	Final set separates three accepted platform boundaries one ABI/compiler class and two external differential gaps; shared semantic and IDA transport gaps are closed	Gap audit is complete; VERIFY-001 and VERIFY-002 remain under MP-V03 through MP-V05 before MP-F08 acceptance
MP-F08-FINAL-ACCEPTANCE	Final acceptance ledger for source structure data flow call chain object lifetime internal containers boundary behavior IDB persistence and honest validation claims	motionplayer.dll + emoteplayer.dll	final Android arm64 evidence and IDB persistence accepted	final Android armv7 evidence and IDB persistence accepted	final iOS arm64 evidence and IDB persistence accepted	final iOS armv7 evidence and IDB persistence accepted	EVIDENCE_BLOCKED	analysis/motionplayer_coverage.tsv; analysis/motionplayer_tasks_status.tsv; analysis/motionplayer_v15_final_differences.tsv; analysis/motionplayer_final_reconstruction_report_2026-08-28.md; plan.md	analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_final_reconstruction_report_2026-08-28.md	Static denominator IDB persistence local Web/native/hash validation and final publication are complete	Only MP-V03 through MP-V05 external paired differential artifacts remain before final acceptance
MP-C33-PRIVATE-GLL-CLASS-DRAW	Private __Private_Motion_GLLayer lazy class registrar ClassID native factory six callbacks derived vtable deque texture owner Draw_GPU target stencil method geometry0 affine geometry1 Bezier geometry2 mesh consumer EH and static-lifetime closure	motionplayer.dll	registrar@0x6DA664 103 factory@0x6DA810 38 callbacks 311 Draw_GPU@0x6DA94C 407	registrar@0x59BD98 97 factory@0x59BEE0 8 ctor@0x59BF04 22 callbacks 234 Draw_GPU@0x59BFB4 420	registrar@0x10012A73C 79 cleanup@0x10012A888 9 factory@0x10012A8AC 25 cleanup@0x10012A914 5 callbacks 166 Draw_GPU@0x10012A9B4 416 cleanup@0x10012B050 72	registrar@0x1293D4 133 cleanup@0x129584 18 factory@0x1295CC 65 cleanup@0x129686 12 callbacks 162 Draw_GPU@0x129724 621 cleanup@0x129DCC 134	IMPLEMENTED	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:29; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:36; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:242; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:250; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:396; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:455; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:493; cpp/plugins/motionplayer/PrivateMotionGLL.cpp:518; tests/unit-tests/plugins/motionplayer-dll.cpp:6630	analysis/motionplayer_private_gll_class_draw_gpu_four_binary_2026-08-27.md; analysis/motionplayer_private_gll_command_builder_four_binary_2026-08-27.md; analysis/motionplayer_private_opengl_manager_d3d_render_envelope_four_binary_2026-08-27.md; analysis/motionplayer_d3d_mesh_submit_repeat_cells_four_binary_2026-08-27.md; analysis/motionplayer_bezier_basis_tessellation_four_binary_2026-08-27.md	fresh four unique UTF16LE class-name searches complete; full four registrars 103/97/79/133 factories and allocation cleanups callbacks 311/234/166/162 Draw_GPU bodies 407/420/416/621 plus 72 cold and 134 SjLj cleanup all cursors done; exact unique ensure root and vtable data-pointer closure; removed non-reference headless Draw trace; PrivateMotionGLL.cpp syntax-only check passed; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C32-PLAYER-FRAME-PROGRESS-EVENTS	Player frameProgress root modified and parameterized node refresh absolute reseek forward reverse four-stream cursor machine variable and node dual-slot parse merge join snapshot restore pending-event enqueue dispatch live-end owner EH and caller closure	motionplayer.dll	frame@0x6BE44C 278 refresh@0x6B3C58 153 reseek@0x6B5AA8 982 forward@0x6B3EBC 863 reverse@0x6B6E1C 728 events@0x6C1870 118	frame@0x58A63A 240 refresh@0x582A7C 102 reseek@0x583C8C 662 forward@0x582BE0 625 reverse@0x584838 507 events@0x58C3A8 90	frame@0x100113B50 197 refresh@0x10010A88C 74 reseek@0x10010C3CC 526 forward@0x10010AA08 553 reverse@0x10010D230 432 events@0x10011622C 97	frame@0x111556 238 refresh@0x10820C 123 reseek@0x109DAC 758 forward@0x1083D8 730 reverse@0x10AB68 583 events@0x113B64 145	IMPLEMENTED	cpp/plugins/motionplayer/PlayerFrameProgress.cpp:114; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:127; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:481; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:620; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:894; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:905; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:915; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:1229; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:1240; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:1292; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:319; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:907; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:952; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:997; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:1240; cpp/plugins/motionplayer/PlayerUpdateLayerEval.cpp:1271; tests/unit-tests/plugins/motionplayer-dll.cpp:22668; tests/unit-tests/plugins/motionplayer-dll.cpp:22929; tests/unit-tests/plugins/motionplayer-dll.cpp:25287; tests/unit-tests/plugins/motionplayer-dll.cpp:25825; tests/unit-tests/plugins/motionplayer-dll.cpp:26704; tests/unit-tests/plugins/motionplayer-dll.cpp:27181	analysis/motionplayer_player_frame_progress_events_four_binary_2026-08-27.md; analysis/motionplayer_player_play_progress_raw_four_binary_2026-08-26.md; analysis/motionplayer_player_update_layers_dispatcher_four_binary_2026-08-27.md; analysis/motionplayer_player_calc_bounds_four_binary_2026-08-27.md	fresh four complete roots 278/240/197/238 dispatchers 118/90/97/145 five direct helper groups totaling 8669 instructions and 36 deep helper bodies including 5917 node-merge instructions all cursors done; complete caller xrefs; exact first-frame queue forward reverse loop four-stream owner partial-commit live-end event and ELF/cold/SjLj EH audit; local line comparison matched; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C31-PLAYER-VARIABLE-BINDER	Player common variable binder normalized HM1 insertion writeVal one-shot cache rebuild type3/type4 child parameter-ramp propagation unconditional HM2 own equal-range duplicate updates caller closure partial commits and old-tree rearm lifecycle	motionplayer.dll	binder@0x6C1A48 490; rebuild@0x6B6A30 249; ramp inline; reset@0x6B2AD8 244	binder@0x58C4D8 231; rebuild@0x58466C 159; ramp@0x585058 40; reset@0x581F3C 212	binder@0x100116410 188; rebuild@0x10010D004 132; ramp@0x10010DDE0 43; reset@0x100109ACC 221	binder@0x113D54 291; rebuild@0x10A930 187; ramp@0x10B708 42; reset@0x107358 312	IMPLEMENTED	cpp/plugins/motionplayer/PlayerVariable.cpp:20; cpp/plugins/motionplayer/PlayerVariable.cpp:44; cpp/plugins/motionplayer/PlayerVariable.cpp:208; cpp/plugins/motionplayer/PlayerVariable.cpp:300; cpp/plugins/motionplayer/PlayerMotionLoad.cpp:101; cpp/plugins/motionplayer/Player.h:1266; tests/unit-tests/plugins/motionplayer-dll.cpp:15684	analysis/motionplayer_player_variable_binder_dataflow_four_binary_2026-08-27.md; analysis/motionplayer_player_parameter_table_pipeline_four_binary_2026-08-27.md; analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	fresh four complete binders 490/231/188/291 rebuilders 249/159/132/187 retained ramp helpers 40/43/42 reset functions 244/212/221/312 and eight Engine caller helpers/clones 253/33/199/35/175/32/201/34 all cursors done; full binder/rebuild caller xrefs; exact container owner IEEE partial-commit and reset field audit; fixed writeVal-vs-weight reset bug; syntax-only checks passed; formal unit/Web build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C30-PLAYER-KRKR-ATLAS-IMAGEPACKER	Player shared KRKR atlas loader source icon full enumeration ABI-specific record vector rotated palette state RL8 RL32 decode transparent replacement bundled ImagePacker pages persistent cache texture ownership partial commit exception and malformed boundaries	motionplayer.dll	Player_loadKrkrAtlasSource_guess@0x6931C8 1997; ImagePacker_pack_guess@0xA6DA58 149; ImagePacker_rect2D_guess@0xA6CFFC 477; RL8/RL32 inline	Player_loadKrkrAtlasSource_guess@0x570F54 1014; ImagePacker_pack_guess@0x79436C 112; ImagePacker_rect2D_guess@0x793F5C 293; RL32@0x571DA4 33; RL8 inline	Player_loadKrkrAtlasSource_guess@0x1000F4098 1136; ImagePacker_pack_guess@0x100054E20 147; ImagePacker_rect2D_guess@0x100054944 237; RL32/RL8@0x1000F5474/0x1000F5510 39/34	Player_loadKrkrAtlasSource_guess@0xF0BE4 1667; ImagePacker_pack_guess@0x53EB8 219; ImagePacker_rect2D_guess@0x53A04 379; RL32/RL8@0xF1F10/0xF1F6A 33/32	IMPLEMENTED	cpp/plugins/motionplayer/PlayerResource.cpp:184; cpp/plugins/motionplayer/PlayerResource.cpp:238; cpp/plugins/motionplayer/PlayerResource.cpp:301; cpp/plugins/motionplayer/PlayerResource.cpp:414; cpp/plugins/motionplayer/PlayerResource.cpp:596; cpp/plugins/motionplayer/ResourceManager.h:37; cpp/plugins/motionplayer/ResourceManager.cpp:66; cpp/core/visual/ogl/imagepacker.cpp:67; cpp/core/visual/ogl/imagepacker.cpp:257; tests/unit-tests/plugins/motionplayer-dll.cpp:12587; tests/unit-tests/plugins/motionplayer-dll.cpp:12626	analysis/motionplayer_krkr_atlas_imagepacker_four_binary_2026-08-27.md; analysis/motionplayer_player_find_source_for_node_four_binary_2026-08-27.md; analysis/motionplayer_d3d_source_getter_texture_map_insert_four_binary_2026-08-27.md	fresh four complete loaders 1997/1014/1136/1667 packers 149/112/147/219 and rect2D 477/293/237/379 plus retained decoders 33/39/34/33/32 all cursors done; exact two loader callers and one packer caller per target; record stride/order vector decoder pack page map owner EH and malformed audit; local line comparison matched; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C15-PLAYER-UPDATE-LAYERS-DISPATCHER	Player updateLayers entry assign flag phase1 phase2 all-node including root queued-or-current-minus-previous position delta camera-dirty handoff fixed ten phase3 calls nonroot flag dirty parameter-mode and final Player-byte cleanup dispatcher	motionplayer.dll	Player_updateLayers_guess@0x6B871C 685 instructions phases@0x6B93E0/0x6B98D0/0x6BACBC/0x6BAE08/0x6BB0A0/0x6BB274/0x6BB4A0/0x6BC1B0/0x6BC4BC/0x6BD908	Player_updateLayers_guess@0x5856E0 764 instructions phases@0x586228/0x5866F8/0x58762C/0x587748/0x587978/0x587BAC/0x587E00/0x588820/0x588A48/0x589C00	Player_updateLayers_guess@0x10010E544 719 instructions phases@0x10010F22C/0x10010F6AC/0x1001107BC/0x1001108C4/0x100110B20/0x100110CE0/0x100110EEC/0x100111A6C/0x100111D08/0x100113024	Player_updateLayers_guess@0x10BE5C 821 instructions phases@0x10CA04/0x10CE30/0x10DF88/0x10E048/0x10E274/0x10E46C/0x10E68C/0x10F2CC/0x10F51C/0x110908	IMPLEMENTED	cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:11; cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:24; cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:43; cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:63; cpp/plugins/motionplayer/PlayerUpdateLayers.cpp:70; tests/unit-tests/plugins/motionplayer-dll.cpp:32030	analysis/motionplayer_player_update_layers_dispatcher_four_binary_2026-08-27.md	fresh four full updateLayers root decompiles and complete 685/764/719/821 disassemblies plus all callers and exact ten-phase address/order audit; exact entry phase all-node delta camera boundary exception cleanup deque and parameter stride comparison; removed non-reference diagnostics and moved delta pass from vertex tail to root boundary including root; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C14-PLAYER-PARAMETER-POINTER-CONSUMERS	Player type3 motion-sub replay-mode node-or-selected pointer and per-use node-or-clamped time reloads plus type6 emitter node-or-frameTick pointer boundary with no integer re-resolution	motionplayer.dll	motion-sub@0x6BB4A0 833 emitter@0x6BC1B0 193	motion-sub@0x587E00 760 emitter@0x588820 172	motion-sub@0x100110EEC 709 emitter@0x100111A6C 167	motion-sub@0x10E68C 921 emitter@0x10F2CC 178	IMPLEMENTED	cpp/plugins/motionplayer/PlayerUpdateChildMotion.cpp:33; cpp/plugins/motionplayer/PlayerUpdateChildMotion.cpp:187; cpp/plugins/motionplayer/PlayerUpdateChildMotion.cpp:242; cpp/plugins/motionplayer/PlayerUpdateParticles.cpp:196; cpp/plugins/motionplayer/MotionNode.h:126; tests/unit-tests/plugins/motionplayer-dll.cpp:22355; tests/unit-tests/plugins/motionplayer-dll.cpp:25473	analysis/motionplayer_player_parameter_pointer_consumers_four_binary_2026-08-27.md	fresh eight full phase decompiles and complete motion-sub 833/760/709/921 plus emitter 193/172/167/178 disassemblies; exact three distinct pointer-selection and reload frontiers with field offsets and unique updateLayers xrefs; restored selected-mode fallback and per-use node time loads; deleted integer resolver and compiled parameterizeIndex; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C13-PLAYER-INIT-VARIABLES	Player ordinary-motion eager variable-track deque clear owning list and item accessors append-first partial publication double label read scope conversion prefix fields owners and unwind behavior	motionplayer.dll	Player_initVariables_guess@0x6CAB30 430 instructions	Player_initVariables_guess@0x592944 215 instructions	Player_initVariables_guess@0x10011D540 196 instructions	Player_initVariables_guess@0x11BF04 275 instructions	IMPLEMENTED	cpp/plugins/motionplayer/PlayerMotionLoad.cpp:35; cpp/plugins/motionplayer/internal/value_structs.h:69; cpp/plugins/motionplayer/internal/value_structs.h:90; cpp/plugins/motionplayer/internal/player_containers.h:66; tests/unit-tests/plugins/motionplayer-dll.cpp:12700; tests/unit-tests/plugins/motionplayer-dll.cpp:21757	analysis/motionplayer_player_init_variables_four_binary_2026-08-27.md	fresh four complete 430/215/196/275 decompiles and disassemblies plus unique caller xrefs; complete UTF16LE variable label scope and double-colon searches; exact clear temporary owner exact-Void item-before-append double-read field-store scope-conversion concat partial-publication deque ABI and unwind audit; local already matched; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C12-PLAYER-BUILD-NODE-TREE	Player ordinary-motion owning-accessor old-tree reset recursive pre-order MotionNode partial publication NodeLabelMap layer-id field type3 child particle and stencil-mask post-link pipeline	motionplayer.dll	build@0x6B25D0 recursive@0x6B1E4C init-node@0x6B1058 label-map@0x6B2498 adaptor@0x6EEB74	build@0x581CC8 recursive@0x5818B0 init-node@0x580FA4 label-map@0x581C54 adaptor@0x58185C	build@0x1001097C8 recursive@0x100109328 init-node@0x100108720 label-map@0x100141740 adaptor@0x1001092A0	build@0x107060 recursive@0x106BDC init-node@0x105E70 label-map@0x142844 adaptor@0x106B08	IMPLEMENTED	cpp/plugins/motionplayer/PlayerMotionLoad.cpp:164; cpp/plugins/motionplayer/NodeTree.cpp:35; cpp/plugins/motionplayer/NodeTree.cpp:47; cpp/plugins/motionplayer/NodeTree.cpp:81; cpp/plugins/motionplayer/NodeTree.cpp:245; cpp/plugins/motionplayer/NodeTree.cpp:297; cpp/plugins/motionplayer/PlayerInternal.h:78; cpp/plugins/motionplayer/PlayerCore.cpp:688; cpp/plugins/motionplayer/internal/player_containers.h:68; tests/unit-tests/plugins/motionplayer-dll.cpp:23563; tests/unit-tests/plugins/motionplayer-dll.cpp:24985	analysis/motionplayer_player_build_node_tree_four_binary_2026-08-27.md	fresh four complete 20 build recursive initializer label-map and adaptor decompiles/disassemblies totaling 1662/984/826/1323 instructions; 33 UTF16LE properties x four complete searches; exact owner partial-publication RM recursion duplicate pointer child leak particle mask snapshot and unwind audit; removed non-reference build traces restored shared pointer selector and node-count snapshot; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-C11-PLAYER-PARAMETER-TABLE-PIPELINE	Player ordinary-motion parameter vector parsing initial HM2/HM1 cascade lookup IEEE normalization selected alias multimap publication and exact destructor purge lifecycle	motionplayer.dll	append@0x6AEAF8 finalize@0x6AF2AC parse@0x6AF40C initial@0x6AEE9C normalize-inline select-inline purge@0x6CB1F8 map-insert@0x6EEA8C	append@0x57FA14 finalize@0x57FF44 parse@0x57FFE8 initial@0x57FCF0 normalize@0x57FC38 select@0x58175C purge@0x592CD0 map-insert@0x5AC9F8	append@0x100106D00 finalize@0x1001072C4 parse@0x100107370 initial@0x100106FEC normalize@0x100106F78 select@0x1001090E8 purge@0x10011DA9C map-insert@0x100140858	append@0x104168 finalize@0x1047FC parse@0x1048FC initial@0x10451C normalize@0x10446C select@0x106944 purge@0x11C3D0 map-insert@0x141B1C	IMPLEMENTED	cpp/plugins/motionplayer/PlayerVariable.cpp:66; cpp/plugins/motionplayer/PlayerVariable.cpp:116; cpp/plugins/motionplayer/PlayerVariable.cpp:159; cpp/plugins/motionplayer/PlayerVariable.cpp:176; cpp/plugins/motionplayer/PlayerVariable.cpp:186; cpp/plugins/motionplayer/PlayerVariable.cpp:263; cpp/plugins/motionplayer/PlayerCore.cpp:668; cpp/plugins/motionplayer/RuntimeSupport.h:32; cpp/plugins/motionplayer/internal/player_containers.h:75; tests/unit-tests/plugins/motionplayer-dll.cpp:21495; tests/unit-tests/plugins/motionplayer-dll.cpp:21543; tests/unit-tests/plugins/motionplayer-dll.cpp:23481	analysis/motionplayer_player_parameter_table_pipeline_four_binary_2026-08-27.md	fresh four append finalize parse initial-value purge and specialized-map-insert decompiles plus three standalone normalize and select helpers; complete 807/638/515/842 independent instructions with all cursors done; raw four UTF16 double-colon bytes; exact owner partial-commit duplicate borrow IEEE selection and destructor audit; local already matched; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-D11-PLAYER-PLAYBACK-STATE-MACHINE	Player shared playImpl loadMotionResult Join reset type1 division secondary load and type0 persistent owner parameter node variable clock initializer state machine with exact flags partial commits exceptions containers and floating boundary	motionplayer.dll	play@0x6AF664 load@0x6AE2F0 join@0x6AFF5C emote@0x6B0270 ordinary@0x6B0A3C	play@0x580158 load@0x57F654 join@0x580668 emote@0x5807E0 ordinary@0x580C28	play@0x100107540 load@0x1001067BC join@0x100107B90 emote@0x100107D38 ordinary@0x100108258	play@0x104AE8 load@0x103BBC join@0x1051AC emote@0x105350 ordinary@0x1058F8	IMPLEMENTED	cpp/plugins/motionplayer/PlayerTimeline.cpp:95; cpp/plugins/motionplayer/PlayerCore.cpp:442; cpp/plugins/motionplayer/PlayerCore.cpp:588; cpp/plugins/motionplayer/PlayerCore.cpp:647; cpp/plugins/motionplayer/PlayerFrameProgress.cpp:735; cpp/plugins/motionplayer/Player.h:72; tests/unit-tests/plugins/motionplayer-dll.cpp:18377; tests/unit-tests/plugins/motionplayer-dll.cpp:19693; tests/unit-tests/plugins/motionplayer-dll.cpp:21617; tests/unit-tests/plugins/motionplayer-dll.cpp:24103; tests/unit-tests/plugins/motionplayer-dll.cpp:24119; tests/unit-tests/plugins/motionplayer-dll.cpp:24138; tests/unit-tests/plugins/motionplayer-dll.cpp:24162; tests/unit-tests/plugins/motionplayer-dll.cpp:26768	analysis/motionplayer_player_playback_state_machine_four_binary_2026-08-27.md	fresh four complete 20 function decompiles disassemblies totaling 2034/1162/978/1526 instructions plus all xrefs; exact flag gates reused hidden result callback and RM owners join map rebuild unguarded division split nested load parameter partial commit clock and EH audit; removed non-reference PRTDIAG sidecars; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
MP-L14-EMOTEPLAYER-PRIMARY-FLOW-RAW-SETTERS	EmotePlayer nineteen primary flow direct Engine facade state snapshot timeline pass and native-instance raw setter callbacks with exact typed arity conversion owner controller deque map wind width split exception and IEEE boundaries	emoteplayer.dll	callbacks@0x67EC94/entry0x67A3F8/0x67ECB0/0x67A8B0/0x66DD8C/0x67EE18/0x67C7EC/0x67EE44/0x5341FC/0x67EEEC/0x673220/0x675424/0x67F028/0x66F1D0/0x66F440/0x66F6FC/0x66F948/0x66FB5C/0x66FE58 helpers@0x67A100/0x66E608/0x6646E0/0x663870/0x670138/0x66DEDC	callbacks@0x561D08/0x55FEF0/0x561D38/0x560020/0x559900/0x561D90/0x5610B0/0x561DA8/0x4979BC/0x497BFE/0x55BB70/0x55CF3C/0x561E18/0x55A368/0x55A450/0x55A548/0x55A628/0x55A6E8/0x55A828 helpers@0x55FCC4/0x559D84/0x5542B0/0x553AD4/0x55A788/0x55A928	callbacks@0x1001B5C68/0x1001B4304/0x1001B5C84/0x1001B4468/0x1001AC718/0x1001B5CD8/0x1001B5040/0x1001B5D04/0x1001B5D84/0x1001B5E84/0x1001AF774/0x1001B1130/0x1001B5ECC/0x1001AD684/0x1001AD778/0x1001AD894/0x1001AD970/0x1001ADA3C/0x1001ADB98 helpers@0x1001B3FE4/0x1001ACDBC/0x1001A4C44/0x1001A4308/0x1001ADAF4/0x1001ADC9C	callbacks@0x1B586C/0x1B3E10/0x1B5898/0x1B3F58/0x1ABF24/0x1B5944/0x1B4CBC/0x1B595C/0x1B5A2C/0x1B5B74/0x1AEF30/0x1B0B80/0x1B5BAA/0x1ACD18/0x1ACE5C/0x1ACF52/0x1AD010/0x1AD0CC/0x1AD218 helpers@0x1B3BBC/0x1AC5F4/0x1AD16A/0x1AD37C	IMPLEMENTED	cpp/plugins/motionplayer/EmotePlayer.cpp:515; cpp/plugins/motionplayer/EmoteEngine.cpp:1317; cpp/plugins/motionplayer/EmoteEngine.cpp:1425; cpp/plugins/motionplayer/EmoteEngine.cpp:2572; cpp/plugins/motionplayer/EmoteEngine.cpp:3144; cpp/plugins/motionplayer/EmoteEngine.cpp:3448; cpp/plugins/motionplayer/EmoteEngine.cpp:3782; cpp/plugins/motionplayer/EmoteEngine.cpp:3817; cpp/plugins/motionplayer/PlayerCore.cpp:922; cpp/plugins/motionplayer/PlayerTimeline.cpp:311; cpp/plugins/motionplayer/PlayerLayerQuery.cpp:679; tests/unit-tests/plugins/motionplayer-dll.cpp:27420; tests/unit-tests/plugins/motionplayer-dll.cpp:28490; tests/unit-tests/plugins/motionplayer-dll.cpp:28684; tests/unit-tests/plugins/motionplayer-dll.cpp:28756; tests/unit-tests/plugins/motionplayer-dll.cpp:28919; tests/unit-tests/plugins/motionplayer-dll.cpp:30523; tools/motionsim/generate_ncb_equivalence_ledger.py:818	analysis/motionplayer_emoteplayer_primary_flow_raw_setters_four_binary_2026-08-27.md	fresh four complete 76 callback disassemblies and decompile attempts plus 22 explicit helper or continuation bodies with complete cursors; exact progress metadata wind typed owner state snapshot pass raw argc double ease transform controller route and malformed boundaries; Android arm64 clear Hex-Rays failure resolved by full 42-instruction body and three-platform isomorphism; local already matched; IDBs named commented bookmarked saved; formal build unavailable	No remaining semantic gap in the final root-reachable denominator; formal CMake unit and Web builds remain unavailable in this environment
